imdb_id,movie_name,storyline,release_year,runtime,imdb_rating,vote_count
tt27403986,Juror #2,"While serving as a juror in a high-profile murder trial, a family man finds himself struggling with a serious moral dilemma, one he could use to sway the jury verdict and potentially convict or free the wrong killer.",2024,20241h 54m,7.0,129K
tt14539740,Godzilla X Kong: The New Empire,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries.",2024,20241h 55m,6.0,137K
tt10655524,It Ends with Us,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",2024,20242h 10m,6.3,104K
tt12584954,Twisters,"Kate Carter, a retired tornado-chaser and meteorologist, is persuaded to return to Oklahoma to work with a new team and new technologies.",2024,20242h 2m,6.5,198K
tt11301886,Rebel Ridge,A former Marine grapples his way through a web of small-town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief.,2024,20242h 11m,6.8,104K
tt13433802,A Quiet Place: Day One,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.,2024,20241h 39m,6.2,180K
tt7510222,Despicable Me 4,"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run.",2024,20241h 34m,6.2,83K
tt23149780,Eden,"Based on a factual account of a group of outsiders who settle on a remote island only to discover their greatest threat isn't the brutal climate or deadly wildlife, but each other.",2024,20242h 9m,6.5,47K
tt21830902,Upgraded,"Ana, an ambitious intern at an art auction house in New York City, misrepresents herself to a handsome wealthy man as the director. As their romance develops, her deception creates challenges that threaten her career and relationship.",2024,20241h 44m,6.1,34K
tt22048412,MaXXXine,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",2024,20241h 43m,6.2,89K
tt29713093,We Bury the Dead,"After a military catastrophe leaves Tasmania filled with partially reanimated corpses, a volunteer searching for her missing husband abandons recovery operations and travels south through isolated communities collapsing beneath guilt.",2024,20241h 35m,5.6,18K
tt1660648,Ricky Stanicky,"When three childhood best friends pull a prank that goes wrong, they invent the imaginary Ricky Stanicky to get them out of trouble. Twenty years later, they still use the nonexistent Ricky as a handy alibi for their immature behavior.",2024,20241h 53m,6.2,63K
tt21382296,Carry-On,A mysterious traveler blackmails a young TSA agent into letting a dangerous package slip through security and onto a Christmas Eve flight.,2024,20241h 59m,6.5,197K
tt18259086,Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance.",2024,20241h 50m,6.9,83K
tt17505010,Horizon: An American Saga - Chapter 1,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west.",2024,20243h 1m,6.6,46K
tt26470109,Oddity,A psychic medium attempts to uncover the truth behind her sister's murder at the site of the crime.,2024,20241h 38m,6.7,61K
tt14257582,Wolfs,"Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances and their egos to finish the job.",2024,20241h 48m,6.5,106K
tt11539996,Relay,A broker of lucrative payoffs between corrupt corporations and the individuals who threaten them breaks his own rules when a new client seeks his protection to stay alive.,2024,20241h 52m,7.0,39K
tt11315808,Joker: Folie à Deux,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital.",2024,20242h 18m,5.2,186K
tt22408160,Kinds of Kindness,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual prophesied to become a renowned spiritual guide.",2024,20242h 44m,6.4,73K
tt27131358,We Live in Time,"After an unusual encounter, a talented chef and a recent divorcée fall in love and build the home and family they've always dreamed of, until a painful truth puts their love story to the test.",2024,20241h 48m,7.0,74K
tt15552142,Caddo Lake,"When an 8-year-old girl disappears on Caddo Lake, a series of past deaths and disappearances begin to link together, altering a broken family's history.",2024,20241h 43m,6.8,58K
tt20215234,Conclave,"When Cardinal Lawrence is tasked with leading the selection of a new Pope, he finds himself in a web of conspiracy and intrigue that could shake the very foundations of the Catholic Church.",2024,20242h,7.4,285K
tt14577874,It's What's Inside,"A group of friends gather for a pre-wedding party that descends into an existential nightmare when an estranged friend arrives with a mysterious game that awakens long-hidden secrets, desires and grudges.",2024,20241h 43m,6.6,53K
tt26446278,The Count of Monte Cristo,"After escaping from an island prison where he spent 14 years for being wrongly accused of state treason, Edmond Dantès returns as the count of Monte Cristo to exact revenge on the men who betrayed him.",2024,20242h 58m,7.6,50K
tt26736843,The Watchers,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night.",2024,20241h 42m,5.7,72K
tt11152168,IF,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,2024,20241h 44m,6.4,68K
tt27489557,Abigail,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl.",2024,20241h 49m,6.5,122K
tt22022452,Inside Out 2,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",2024,20241h 36m,7.5,256K
tt24871974,Subservience,"A family man buys a domestic android after his wife's hospitalization. The android develops obsessive attachment, manipulates the household, eliminates perceived rivals, and ultimately attempts to claim his wife's heart literally.",2024,20241h 46m,5.4,37K
tt4772188,Flow,"Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences.",2024,20241h 25m,7.8,151K
tt8864596,Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever.",2024,20241h 44m,7.6,68K
tt26753003,Trap,A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.,2024,20241h 45m,5.8,169K
tt15574270,I Saw the TV Glow,"In late-90s suburbia, a lonely teenager meets a girl at school who introduces him to a mysterious late-night T.V. show. As time goes on, however, questions begin to arise about why the show sometimes seems more real than their own lives.",2024,20241h 40m,5.8,47K
tt2049403,Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",2024,20241h 45m,6.6,177K
tt12810074,Nightbitch,"A woman pauses her career to be a stay-at-home mom, but soon her domesticity takes a surreal turn.",2024,20241h 39m,5.5,25K
tt13452446,Damsel,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt.",2024,20241h 50m,6.1,121K
tt15682498,The Last Stand of Ellen Cole,Follow a nefarious land developer who gets more than he bargained for when he tries to intimidate an 80-year-old widow into abandoning her Montana ranch.,2024,20241h 37m,6.3,1.1K
tt26548265,Maharaja,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.",2024,20242h 21m,8.3,84K
tt21823606,A Real Pain,"Mismatched cousins reunite for a tour through Poland to honor their beloved grandmother, but their old tensions resurface against the backdrop of their family history.",2024,20241h 30m,7.0,165K
tt27032708,Survive,A couple celebrates their son's birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.,2024,20241h 30m,4.6,5.2K
tt33353846,"Husband, Father, Killer: The Alyssa Pladl Story","Alyssa has a relationship with abusive Steven as a teen, has his child but gives it up for adoption. Years later, their daughter seeks them out, and Steven manipulates her into an affair, neglecting his family.",2024,20241h 27m,6.0,967
tt13186482,Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",2024,20241h 58m,6.6,84K
tt15009428,Argylle,A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes that the plot of the new book she's writing starts to mirror real-world events in real time.,2024,20242h 19m,5.6,101K
tt27802490,Exhuma,"Feng shui master Kim Sang-deok joins a shaman and a mortician to relocate a cursed ancestral grave, but the excavation unearths a colonial atrocity buried beneath the soil, forcing crew into a brutal confrontation with an immortal warrior.",2024,20242h 14m,6.9,30K
tt14088510,Tarot,"When a group of friends recklessly violates the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death.",2024,20241h 32m,4.8,40K
tt14961016,I'm Still Here,A woman married to a former politician during the military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.,2024,20242h 17m,8.1,170K
tt26625693,The Order,A series of bank robberies and car heists frightens communities in the Pacific Northwest. A lone FBI agent believes that the crimes were not the work of financially motivated criminals but rather a group of dangerous domestic terrorists.,2024,20241h 56m,6.8,64K
tt10128846,Megalopolis,"The city of New Rome faces the duel between Cesar Catilina, a brilliant artist in favor of a Utopian future, and the greedy mayor Franklyn Cicero. Between them is Julia Cicero, with her loyalty divided between her father and her beloved.",2024,20242h 18m,4.7,43K
tt4919268,Bad Boys: Ride or Die,"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name.",2024,20241h 55m,6.5,115K
tt27196021,Small Things Like These,In 1985 devoted father Bill Furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own.,2024,20241h 38m,6.7,39K
tt31795447,Ick,"Science teacher Hank's life changes when he reconnects with his first love and suspects a new student is his daughter, all while facing an alien threat in their town.",2024,20241h 33m,5.3,2.4K
